,District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
0,Kwai Tsing,Ching Nga Court,,3940
1,Sham Shui Po,"Tower 2, Heya Green",,3941
2,Yau Tsim Mong,"Tai Ying Building, Cosmopolitan Estates",,3942
3,Eastern,"Block 3, Fullview Garden",,3943
4,Wong Tai Sin,"Lung Tai House, Lower Wong Tai Sin Estate",,3946
5,Sham Shui Po,85A Fuk Wing Street,,3947
6,North,"Ching Yun House, Ching Ho Estate",,3948
7,North,"Ching Yun House, Ching Ho Estate",,3949
8,North,"Yiu Ming House, Wah Ming Estate",,3950
9,Islands,"Mun Wo House, Mun Tung Estate",,3951
10,Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",,3952
11,Sha Tin,"Yan Hei House, Yan On Estate",,3953
12,Kowloon City,"Tak Shan House, Tak Long Estate",,3954
13,Kwai Tsing,"Hong Kwai House, Cheung Hong Estate",,3955
14,Sham Shui Po,"Tower 1, The Sparkle",,3956
15,Eastern,"Block 3, Harmony Garden",,3957
16,Eastern,"Tang Kung Mansion, Kam Din Terrace, Taikoo Shing",,3958
17,Yau Tsim Mong,"Cam Key Mansion, 489 Shanghai Street",,3959
18,Yuen Long,"Yau Pok Road, Tai Sang Wai",,3960
19,Sai Kung,"Tak Chak House, Hau Tak Estate",,3961
20,Sham Shui Po,Wo Fung Building,,3962
21,Sham Shui Po,Wo Fung Building,,3963
22,North,"Choi Wah House, Choi Yuen Estate",,3964
23,Sai Kung,"Tower 5B, Wings At Sea, LOHAS Park",,3965
24,Yuen Long,"Yin Ping House, Long Ping Estate",,3966
25,Yuen Long,"Yin Ping House, Long Ping Estate",,3967
26,Yuen Long,"Yau Pok Road, Tai Sang Wai",,3968
27,Yuen Long,Wang Chau Fuk Hing Tsuen,,3969
28,Wan Chai,Fook Wo Building,,3970
29,Eastern,"Tang Kung Mansion, Kam Din Terrace, Taikoo Shing",,3971
30,Kwun Tong,"Block 6, Shun Lee Disciplined Services Quarters",,3972
31,Yau Tsim Mong,Lauren Court,,3973
32,Kowloon City,"Block 1, Willow Mansions, Site 3, Whampoa Garden",,3974
33,North,"Tin Cheung House, Tin Ping Estate",,3975
